region,tech,mw,entry_year,p_cod_3y_mean,p_cod_3y_lo90,p_cod_3y_hi90,p_cod_5y_mean,p_cod_5y_lo90,p_cod_5y_hi90,p_cod_7y_mean,p_cod_7y_lo90,p_cod_7y_hi90,p_withdrawn_5y_mean
Southeast,Solar,50,2020,0.0928,0.0782,0.1007,0.214,0.1919,0.2335,0.2721,0.2433,0.2958,0.4517
Southeast,Solar,50,2021,0.0994,0.0844,0.1092,0.2217,0.2054,0.2412,0.2758,0.2594,0.3004,0.436
Southeast,Solar,50,2022,0.101,0.0878,0.1106,0.2153,0.1946,0.2353,0.2628,0.2375,0.2863,0.4084
Southeast,Solar,50,2023,0.0893,0.0764,0.1076,0.1817,0.1576,0.2129,0.2198,0.1883,0.2635,0.3304
Southeast,Solar,50,2024,0.0696,0.0536,0.1011,0.1379,0.1018,0.196,0.1694,0.1218,0.2384,0.3266
Southeast,Solar,50,2025,0.0514,0.0228,0.0928,0.0996,0.0604,0.1648,0.1293,0.0846,0.2016,0.4505
Southeast,Solar,100,2020,0.0446,0.0264,0.0643,0.143,0.105,0.1904,0.2017,0.1594,0.2544,0.5049
Southeast,Solar,100,2021,0.0455,0.0286,0.0612,0.1405,0.1078,0.181,0.1946,0.159,0.2412,0.5075
Southeast,Solar,100,2022,0.0466,0.0311,0.0576,0.1362,0.114,0.1618,0.1855,0.1618,0.2125,0.5062
Southeast,Solar,100,2023,0.0488,0.0284,0.0665,0.1294,0.0945,0.1648,0.1736,0.1394,0.2116,0.4872
Southeast,Solar,100,2024,0.052,0.0259,0.0761,0.1194,0.0809,0.1613,0.16,0.1181,0.2057,0.4713
Southeast,Solar,100,2025,0.0391,0.0125,0.0691,0.0858,0.0489,0.1351,0.122,0.0865,0.1755,0.5424
Southeast,Solar,200,2020,0.0222,0.0118,0.0413,0.0928,0.0714,0.1294,0.1523,0.1271,0.1953,0.5394
Southeast,Solar,200,2021,0.0183,0.0092,0.0347,0.0796,0.0542,0.1111,0.1352,0.1053,0.1729,0.5562
Southeast,Solar,200,2022,0.0159,0.0079,0.027,0.07,0.0459,0.093,0.1224,0.0965,0.146,0.5667
Southeast,Solar,200,2023,0.0171,0.0079,0.0281,0.0674,0.0443,0.0922,0.1164,0.0907,0.1429,0.5653
Southeast,Solar,200,2024,0.0257,0.0094,0.0533,0.0737,0.0477,0.1085,0.1199,0.0914,0.1579,0.5539
Southeast,Solar,200,2025,0.0268,0.0077,0.0528,0.0663,0.0398,0.0991,0.1054,0.0851,0.1405,0.5836
Southeast,Solar,400,2020,0.017,0.008,0.0334,0.0767,0.0548,0.104,0.1376,0.1136,0.1714,0.5458
Southeast,Solar,400,2021,0.0139,0.0064,0.0276,0.0657,0.0424,0.0881,0.1237,0.0982,0.1523,0.559
Southeast,Solar,400,2022,0.0121,0.0054,0.022,0.0578,0.0367,0.0796,0.1125,0.0889,0.1333,0.5673
Southeast,Solar,400,2023,0.013,0.005,0.025,0.0553,0.0328,0.0782,0.107,0.0814,0.1316,0.5664
Southeast,Solar,400,2024,0.0184,0.0058,0.043,0.0597,0.0367,0.0892,0.1091,0.0791,0.1394,0.5573
Southeast,Solar,400,2025,0.0213,0.0058,0.047,0.0573,0.036,0.0878,0.1,0.0759,0.1349,0.5821
Southeast,Solar,800,2020,0.0158,0.0068,0.0315,0.0703,0.0518,0.0931,0.1321,0.1098,0.1627,0.5441
Southeast,Solar,800,2021,0.0128,0.0056,0.0254,0.06,0.0408,0.079,0.1192,0.0953,0.1453,0.5545
Southeast,Solar,800,2022,0.0114,0.0053,0.0211,0.0537,0.0354,0.0737,0.1102,0.0864,0.131,0.5604
Southeast,Solar,800,2023,0.012,0.0044,0.0244,0.0512,0.0302,0.0741,0.1054,0.0787,0.1304,0.5596
Southeast,Solar,800,2024,0.0158,0.0045,0.0366,0.0538,0.0323,0.0773,0.1071,0.0756,0.1321,0.55
Southeast,Solar,800,2025,0.0184,0.0046,0.0431,0.0529,0.0337,0.0837,0.1,0.0727,0.1345,0.5692
Southeast,Wind,50,2020,0.109,0.0883,0.1384,0.166,0.1279,0.2063,0.1966,0.1507,0.2312,0.3346
Southeast,Wind,50,2021,0.1008,0.0773,0.1339,0.1528,0.1149,0.1881,0.1811,0.1389,0.2133,0.2851
Southeast,Wind,50,2022,0.0906,0.0673,0.1221,0.1365,0.109,0.1699,0.1627,0.1378,0.1971,0.236
Southeast,Wind,50,2023,0.0778,0.0598,0.1182,0.1183,0.1007,0.1661,0.1431,0.1138,0.191,0.1942
Southeast,Wind,50,2024,0.0657,0.0424,0.1141,0.1018,0.0668,0.1615,0.1266,0.0771,0.199,0.1858
Southeast,Wind,50,2025,0.0549,0.0248,0.1007,0.0891,0.0439,0.145,0.1164,0.0599,0.189,0.2591
Southeast,Wind,100,2020,0.0912,0.0619,0.1262,0.1626,0.0932,0.2029,0.2004,0.1227,0.2441,0.3922
Southeast,Wind,100,2021,0.0896,0.0603,0.1213,0.1576,0.0929,0.1875,0.1935,0.123,0.2291,0.364
Southeast,Wind,100,2022,0.086,0.0596,0.1116,0.1489,0.0958,0.1776,0.1826,0.1283,0.2175,0.3257
Southeast,Wind,100,2023,0.0786,0.0582,0.1094,0.1347,0.1,0.172,0.167,0.1226,0.2036,0.2844
Southeast,Wind,100,2024,0.0644,0.0431,0.0978,0.1132,0.0751,0.1541,0.1458,0.0956,0.1843,0.2872
Southeast,Wind,100,2025,0.049,0.0248,0.0817,0.0907,0.0515,0.135,0.1239,0.073,0.1737,0.3525
Southeast,Wind,200,2020,0.0663,0.0364,0.0965,0.1377,0.0772,0.1931,0.1812,0.1096,0.2481,0.4577
Southeast,Wind,200,2021,0.0648,0.0341,0.0958,0.1332,0.0718,0.187,0.1751,0.1042,0.2407,0.4493
Southeast,Wind,200,2022,0.0619,0.0309,0.0895,0.1259,0.0703,0.1764,0.1666,0.1027,0.2311,0.4371
Southeast,Wind,200,2023,0.0571,0.03,0.0854,0.1154,0.0699,0.1719,0.1547,0.1024,0.221,0.418
Southeast,Wind,200,2024,0.0471,0.027,0.0754,0.0994,0.0611,0.1536,0.1387,0.0928,0.1984,0.4168
Southeast,Wind,200,2025,0.0379,0.0176,0.0689,0.0816,0.0472,0.1337,0.1207,0.0777,0.1784,0.4506
Southeast,Wind,400,2020,0.0392,0.0232,0.0595,0.0985,0.0541,0.1362,0.1454,0.0894,0.1945,0.5149
Southeast,Wind,400,2021,0.0366,0.0186,0.0543,0.0926,0.0476,0.1299,0.1383,0.0823,0.1867,0.5181
Southeast,Wind,400,2022,0.0338,0.0159,0.0494,0.0853,0.0442,0.1185,0.1292,0.0783,0.1713,0.5249
Southeast,Wind,400,2023,0.0318,0.0134,0.0465,0.079,0.0411,0.1157,0.121,0.0757,0.1643,0.5185
Southeast,Wind,400,2024,0.0275,0.014,0.0421,0.0711,0.0451,0.105,0.1131,0.0794,0.1505,0.5097
Southeast,Wind,400,2025,0.024,0.0101,0.0407,0.0623,0.0422,0.0936,0.1037,0.0711,0.1392,0.5222
Southeast,Wind,800,2020,0.0256,0.0145,0.0455,0.0759,0.0465,0.1019,0.1261,0.0843,0.1504,0.5371
