lon,lat,sqft,state_abb,operator,type
-77.48213787541994,39.01554879745239,144740.0,VA,Databank,building
-77.48327064329858,39.01560147883306,54700.0,VA,,building
-111.60405623426205,33.34701915860399,1338261.0,AZ,Apple Inc.,building
-87.95284650862307,42.216756536018735,55001.0,IL,VISA,building
-105.95657515744648,35.67244389730999,31727.0,NM,SONM,building
-98.50652172672936,29.438279094436894,12722.0,TX,Lumen Technologies,building
-120.88726144669496,44.29588334105515,269642.0,OR,,building
-122.93181213080427,45.55018168886831,89232.0,OR,,building
-122.89744896301694,45.547311791366376,215217.0,OR,,building
-122.89195798239216,45.54761722382477,68807.0,OR,Digital Realty,building
-122.8908514025637,45.5498209002179,41245.0,OR,Flexential,building
-122.89220172053012,45.55033398642741,44088.0,OR,Flexential,building
-85.50724111669626,38.277197827679295,34794.0,KY,Flexential,building
-85.73335104065765,38.24249601378566,36525.0,KY,Flexential,building
-75.16083249176855,39.95980952635984,119659.0,PA,,building
-117.09593477622664,47.671916867147694,14435.0,WA,,building
-76.62552663391303,39.27538391165092,30131.0,MD,,building
-122.29440690516354,47.49413118771306,19791.0,WA,Sabey,building
-122.29368392327882,47.49307629033907,19140.0,WA,Sabey,building
-122.293319807759,47.49214782871073,38547.0,WA,Sabey,building
-119.81449029306091,47.25016454994511,147430.0,WA,,building
-119.86571157127666,47.24358751309279,99760.0,WA,NTT,building
-119.85935927491568,47.23881859630125,44365.0,WA,,building
-119.85936632665342,47.23826232566218,32106.0,WA,,building
-90.482409225225,41.55026944582376,53983.0,IA,,building
-88.21951394141162,41.90535458903981,14550.0,IL,,building
-74.45667583889342,40.5528187281629,61263.0,NJ,,building
-85.94132960161893,39.71718414793671,21005.0,IN,Verizon Wireless,building
-74.06435818266343,40.78473886879808,34462.0,NJ,,building
-111.9860469169242,40.62035188350187,30547.0,UT,Flexential,building
-121.94391134202756,37.36168658658687,297948.0,CA,Digital Realty,building
-121.90379949999844,37.699475300043446,941.0,CA,,building
-122.33974344575807,47.61442272967249,12575.0,WA,Equinix,building
-74.48400692707673,40.55696486399719,343444.0,NJ,Quality Technology Services,building
-76.92590821703205,39.052822508078144,43057.0,MD,,building
-98.69072125219772,29.478216376231007,258191.0,TX,Microsoft,building
-98.6926080915504,29.479925996060736,478642.0,TX,Microsoft,building
-98.69655923476324,29.48106634167372,194916.0,TX,Microsoft,building
-66.0516872147712,18.446826968330527,23137.0,PR,Claro,building
-75.40863781443159,40.1270582669318,34224.0,PA,Lumen Technologies,building
-77.22055679495352,38.90913922220713,79709.0,VA,Equinix,building
-77.21974420009786,38.9083675000258,20483.0,VA,,building
-122.68070403612808,45.52154358199719,41556.0,OR,,building
-122.87550380152314,45.52668379341888,25297.0,OR,Oregon Health & Science University,building
-96.66095239322138,33.135980195526706,162023.0,TX,,building
-120.8839983863009,44.29489361961425,231830.0,OR,,building
-122.480547528078,48.75726819331372,4312.0,WA,CSS Communications,building
-87.95256335815348,42.001494373393264,64358.0,IL,EdgeConneX,building
-87.95521312428228,42.00115870787965,135800.0,IL,Equinix,building
-87.9671757623118,41.97422731222964,44358.0,IL,Element Critical,building
-87.95817200961845,41.99204041535668,198323.0,IL,Centersquare,building
-104.83755343632713,39.55897087407264,198772.0,CO,Flexential,building
-83.26266713633784,42.4476969142348,40574.0,MI,EdgeConneX,building
-97.72359737399287,30.261396172131168,5068.0,TX,Lumen Technologies,building
-97.72210231000722,30.261043226760545,36089.0,TX,Alpheus,building
-97.6957806400088,30.21217551197644,79985.0,TX,,building
-97.7070441537442,30.20067632042548,86445.0,TX,,building
